timestamp,spi_sent
2026-01-10 15:37:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:37:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:37:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:37:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:38:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:39:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:40:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:08,44 72 62 46 0 75 18 0 1
